Id;ParentId;case_id;parent_case_id;Id_parent;Symptom__c;Incident_Reason__c;symptom_name;incident_reason_name;macro_symptom
5003X0000279kL7QAI;;5003X0000279kL7QAI;;;;;;;outro
5003X0000279lD6QAI;;5003X0000279lD6QAI;;;;;;;outro
5003X0000279nAoQAI;5003X0000279ls6QAA;5003X0000279nAoQAI;5003X0000279ls6QAA;5003X0000279ls6QAA;;;;;outro
5003X000027AEUGQA4;5003X000027AEwEQAW;5003X000027AEUGQA4;5003X000027AEwEQAW;5003X000027AEwEQAW;;;;;outro
5003X000027AMPwQAO;;5003X000027AMPwQAO;;;;;;;outro
5003X000027AMcNQAW;;5003X000027AMcNQAW;;;;;;;outro
5003X000027B2SmQAK;;5003X000027B2SmQAK;;;;;;;outro
5003X000027B4hUQAS;;5003X000027B4hUQAS;;;;;;;outro
5003X000027BJ6jQAG;;5003X000027BJ6jQAG;;;;;;;outro
5003X000027BesEQAS;;5003X000027BesEQAS;;;;;;;outro
5003X000027Bf4bQAC;;5003X000027Bf4bQAC;;;;;;;outro
5003X000027BfpOQAS;;5003X000027BfpOQAS;;;;;;;outro
5003X000027BrkDQAS;;5003X000027BrkDQAS;;;;;;;outro
5003X000027CGAZQA4;;5003X000027CGAZQA4;;;;;;;outro
5003X000027CHgSQAW;;5003X000027CHgSQAW;;;;;;;outro
5003X000027CI7JQAW;;5003X000027CI7JQAW;;;;;;;outro
5003X000027CPgTQAW;5003X000027CMzXQAW;5003X000027CPgTQAW;5003X000027CMzXQAW;5003X000027CMzXQAW;;;;;outro
5003X000027CPqoQAG;5003X000027CMofQAG;5003X000027CPqoQAG;5003X000027CMofQAG;5003X000027CMofQAG;;;;;outro
5003X000027CQ2tQAG;5003X000027CNEhQAO;5003X000027CQ2tQAG;5003X000027CNEhQAO;5003X000027CNEhQAO;;;;;outro
5003X000027CTrnQAG;;5003X000027CTrnQAG;;;;;;;outro
5003X000027CbAjQAK;;5003X000027CbAjQAK;;;;;;;outro
5003X000027CdKaQAK;;5003X000027CdKaQAK;;;;;;;outro
5003X000027ClfRQAS;;5003X000027ClfRQAS;;;;;;;outro
